nu_cm1,Cs_cm2_molec_cm1,Cf_cm2_molec_cm1,self_texp
9110.0,1.523000e-28,4.695000e-30,3.286000
9120.0,1.350000e-28,3.980000e-30,3.316000
9130.0,1.204000e-28,3.547000e-30,3.334000
9140.0,1.070000e-28,3.195000e-30,3.376000
9150.0,9.408000e-29,2.933000e-30,3.422000
9160.0,8.476000e-29,2.553000e-30,3.443000
9170.0,7.470000e-29,2.077000e-30,3.471000
9180.0,6.679000e-29,1.706000e-30,3.492000
9190.0,5.929000e-29,1.389000e-30,3.496000
9200.0,5.267000e-29,1.188000e-30,3.491000
9210.0,4.711000e-29,1.023000e-30,3.491000
9220.0,4.172000e-29,8.598000e-31,3.481000
9230.0,3.761000e-29,7.241000e-31,3.460000
9240.0,3.288000e-29,5.923000e-31,3.475000
9250.0,2.929000e-29,4.891000e-31,3.466000
9260.0,2.609000e-29,4.055000e-31,3.471000
9270.0,2.315000e-29,3.496000e-31,3.485000
9280.0,2.042000e-29,2.930000e-31,3.482000
9290.0,1.844000e-29,2.455000e-31,3.548000
9300.0,1.640000e-29,2.158000e-31,3.566000
9310.0,1.470000e-29,1.834000e-31,3.643000
9320.0,1.310000e-29,1.560000e-31,3.748000
9330.0,1.176000e-29,1.378000e-31,3.800000
9340.0,1.049000e-29,1.153000e-31,3.956000
9350.0,9.377000e-30,9.816000e-32,4.068000
9360.0,8.462000e-30,8.436000e-32,4.223000
9370.0,7.616000e-30,7.371000e-32,4.357000
9380.0,6.818000e-30,6.374000e-32,4.506000
9390.0,6.119000e-30,5.452000e-32,4.634000
9400.0,5.558000e-30,4.766000e-32,4.752000
9410.0,5.152000e-30,4.153000e-32,4.839000
9420.0,4.832000e-30,3.703000e-32,4.890000
9430.0,4.546000e-30,3.277000e-32,4.950000
9440.0,4.267000e-30,2.908000e-32,5.034000
9450.0,4.009000e-30,2.575000e-32,5.113000
9460.0,3.770000e-30,2.326000e-32,5.176000
9470.0,3.546000e-30,2.104000e-32,5.228000
9480.0,3.340000e-30,1.905000e-32,5.383000
9490.0,3.149000e-30,1.730000e-32,5.523000
9500.0,2.971000e-30,1.586000e-32,5.620000
9510.0,2.805000e-30,1.450000e-32,5.705000
9520.0,2.652000e-30,1.345000e-32,5.775000
9530.0,2.509000e-30,1.250000e-32,5.823000
9540.0,2.377000e-30,1.164000e-32,5.885000
9550.0,2.255000e-30,1.092000e-32,5.931000
9560.0,2.142000e-30,1.045000e-32,5.960000
9570.0,2.038000e-30,1.009000e-32,5.985000
9580.0,1.943000e-30,1.005000e-32,6.006000
9590.0,1.855000e-30,9.951000e-33,6.019000
9600.0,1.776000e-30,1.005000e-32,6.021000
9610.0,1.703000e-30,1.059000e-32,6.015000
9620.0,1.640000e-30,1.143000e-32,5.997000
9630.0,1.586000e-30,1.260000e-32,5.954000
9640.0,1.536000e-30,1.363000e-32,5.901000
9650.0,1.494000e-30,1.432000e-32,5.817000
9660.0,1.466000e-30,1.569000e-32,5.716000
9670.0,1.446000e-30,1.758000e-32,5.554000
9680.0,1.440000e-30,1.998000e-32,5.389000
9690.0,1.439000e-30,2.326000e-32,5.180000
9700.0,1.455000e-30,2.705000e-32,4.951000
9710.0,1.461000e-30,3.333000e-32,4.772000
9720.0,1.479000e-30,4.112000e-32,4.646000
9730.0,1.514000e-30,5.401000e-32,4.551000
9740.0,1.538000e-30,7.508000e-32,4.424000
9750.0,1.590000e-30,1.020000e-31,4.389000
9760.0,1.652000e-30,1.368000e-31,4.410000
9770.0,1.750000e-30,1.613000e-31,4.457000
9780.0,1.811000e-30,1.696000e-31,4.471000
9790.0,1.880000e-30,1.727000e-31,4.473000
9800.0,1.933000e-30,1.792000e-31,4.545000
9810.0,2.027000e-30,1.778000e-31,4.605000
9820.0,2.078000e-30,1.662000e-31,4.644000
9830.0,2.170000e-30,1.502000e-31,4.652000
